nom,type,region,province,latitude,longitude,population
Zougouma,commune,Nord,Province du Yatenga,13.56335,-2.51996,0
Zougo,commune,Nord,,12.8,-2.63333,0
Roudounga,commune,Nord,Province du Yatenga,13.76241,-2.34135,0
Zouandoma,commune,Nord,Province du Yatenga,13.315,-2.13058,0
Zorogo,commune,Centre-Est,,12.25,-0.28333,0
Zoro,commune,Centre-Ouest,,11.1,-2.05,0
Zorkoum,commune,Centre-Nord,Sandbondtenga,13.14888,-1.16584,0
Zorgongo,commune,Plateau-Central,,12.26667,-0.8,0
Zorgo,commune,Centre-Nord,Province du Namentenga,13.06589,-0.66919,0
Zorgo,commune,Centre-Sud,,11.7,-1.33333,0
Zorga,commune,Centre-Nord,Province du Namentenga,13.02002,-0.66817,0
Zore,commune,Centre-Est,,12.28333,-0.45,0
Zorbo,commune,Centre-Nord,Sandbondtenga,13.5327,-0.97824,0
Zoongo,commune,Centre-Nord,,12.85,-0.58333,0
Zinzour-Polo,commune,Sud-Ouest,Province du Poni,10.16785,-2.89802,0
Zontibé,commune,Centre-Nord,Sandbondtenga,13.41516,-1.25175,0
Zonsé,commune,Centre-Est,Province du Boulgou,11.37,-0.615,0
Zono,commune,Sud-Ouest,,10.41667,-3.56667,0
Zonkin,commune,Centre-Nord,,12.98639,-0.9914,0
Zongpiguen,commune,Plateau-Central,,12.25,-0.78333,0
Zongowaétan,commune,Sahel,Province du Yagha,13.79124,0.54774,0
Zongo,commune,Centre-Nord,Sandbondtenga,13.4246,-1.22507,0
Zongo,commune,Nord,Province du Yatenga,13.22745,-2.37596,0
Zongo,commune,Centre,Kadiogo Province,12.34595,-1.59856,0
Zonesso,commune,Hauts-Bassins,Province du Houet,11.16497,-4.17687,0
Zoner,commune,Sud-Ouest,,11.21667,-2.83333,0
Zonankui,commune,Boucle du Mouhoun,,12.68333,-3.58333,0
Zon,commune,Centre-Nord,Province du Bam,13.72901,-1.61531,0
Zon,commune,Centre-Sud,,11.28333,-1.4,0
Zomouna,commune,Centre-Ouest,,11.2,-2.46667,0
Zomnogo,commune,Centre-Nord,Province du Namentenga,13.25112,-0.45782,0
Zomkalga,commune,Nord,Province du Yatenga,13.45749,-1.88202,0
Zomkalga,commune,Centre-Nord,Province du Bam,13.18893,-1.48445,0
Zom,commune,Nord,Province du Yatenga,13.83017,-2.40276,0
Zolo,commune,Centre-Ouest,,12.8,-2.56667,0
Zolo,commune,Sud-Ouest,,10.81667,-3.05,0
Zogoré,commune,Nord,Province du Yatenga,13.40169,-2.59244,0
Zogbéga,commune,Nord,,12.86667,-2.1,0
Zoétgomdé,commune,Centre-Ouest,,12.53333,-2.2,0
Zodoum,commune,Sud-Ouest,,10.98333,-3.03333,0
Zoamba,commune,Centre-Nord,,12.76667,-0.83333,0
Zoaga,commune,Centre-Est,Province du Boulgou,11.03806,-0.59028,0
Zizon,commune,Nord,,12.8,-2.26667,0
Zizi,commune,Boucle du Mouhoun,,12.96667,-2.93333,0
Zitoessin,commune,Nord,Province du Yatenga,13.07456,-2.39649,0
Zitenga,commune,Plateau-Central,Province du Bassitenga,12.74846,-1.30989,0
Zisségré,commune,Centre-Nord,,12.66667,-0.38333,0
Ziré,commune,Nord,Province du Yatenga,13.27328,-2.11149,0
Zipélé,commune,Plateau-Central,,12.77965,-1.73737,0
Zipélaga,commune,Centre-Est,,11.06667,-0.48333,0
Ziou,commune,Centre-Sud,Nahouri Province,11.03611,-0.77917,0
Zio,commune,Centre-Sud,,11.91667,-1.7,0
Zinyé,commune,Plateau-Central,,12.25,-0.6,0
Zintio,commune,Sud-Ouest,,11.31667,-3.2,0
Zintenga,commune,Centre-Est,,11.83333,-0.76667,0
Zinou,commune,Centre-Ouest,,11.86667,-2.28333,0
Zinkui,commune,Boucle du Mouhoun,,11.98333,-3.21667,0
